,URL,TITLE,Visited_time
0,https://www.tensorflow.org/tutorials/images/cnn,Convolutional Neural Network (CNN)  |  TensorFlow Core,2021-12-03 03:39:00
1,https://www.tensorflow.org/,TensorFlow,2021-12-03 03:39:00
2,https://en.wikipedia.org/wiki/TensorFlow,TensorFlow - Wikipedia,2021-12-03 03:38:00
3,https://github.com/tensorflow/tensorflow,tensorflow/tensorflow: An Open Source Machine Learning Framework for Everyone,2021-12-03 03:38:00
4,https://www.tensorflow.org/,TensorFlow,2021-12-03 03:38:00
5,https://www.google.com/search?q=tensorflow&sxsrf=AOaemvJ8jbtZUJNPMoLhigUIZ59MRlAoQw%3A1638520683572&ei=a9epYYCyIoulptQPxayFcA&oq=tensor+flow&gs_lcp=Cgdnd3Mtd2l6EAMYADIKCAAQgAQQsQMQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjoHCCMQ6gIQJzoECCMQJzoECAAQQzoKCAAQsQMQgwEQQzoRCC4QgAQQsQMQgwEQxwEQowI6BQguEIAEOgcIABCxAxBDOggIABCABBCxAzoFCAAQsQM6CggAEIAEEIcCEBQ6BQgAEJECOgsIABCABBCxAxCDAToFCAAQgARKBAhBGABKBAhGGABQywZYqDJg9T9oAXACeACAAXeIAacHkgEDOC4zmAEAoAEBsAEKwAEB&sclient=gws-wiz,tensorflow - Google Search,2021-12-03 03:38:00
6,https://www.google.com/search?q=tensorflow&sxsrf=AOaemvJ8jbtZUJNPMoLhigUIZ59MRlAoQw%3A1638520683572&ei=a9epYYCyIoulptQPxayFcA&oq=tensor+flow&gs_lcp=Cgdnd3Mtd2l6EAMYADIKCAAQgAQQsQMQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjIHCAAQgAQQCjoHCCMQ6gIQJzoECCMQJzoECAAQQzoKCAAQsQMQgwEQQzoRCC4QgAQQsQMQgwEQxwEQowI6BQguEIAEOgcIABCxAxBDOggIABCABBCxAzoFCAAQsQM6CggAEIAEEIcCEBQ6BQgAEJECOgsIABCABBCxAxCDAToFCAAQgARKBAhBGABKBAhGGABQywZYqDJg9T9oAXACeACAAXeIAacHkgEDOC4zmAEAoAEBsAEKwAEB&sclient=gws-wiz,tensorflow - Google Search,2021-12-03 03:38:00
7,https://www.tensorflow.org/tutorials/images/cnn,Convolutional Neural Network (CNN)  |  TensorFlow Core,2021-12-03 03:38:00
8,https://machinelearningmastery.com/convolutional-layers-for-deep-learning-neural-networks/,How Do Convolutional Layers Work in Deep Learning Neural Networks?,2021-12-03 03:38:00
9,https://www.ibm.com/cloud/learn/convolutional-neural-networks,What are Convolutional Neural Networks? | IBM,2021-12-03 03:38:00
10,https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53,A Comprehensive Guide to Convolutional Neural Networks — the ELI5 way | by Sumit Saha | Towards Data Science,2021-12-03 03:38:00
11,https://en.wikipedia.org/wiki/Convolutional_neural_network,Convolutional neural network - Wikipedia,2021-12-03 03:38:00
