,Time_Visited,Title,URL,LABEL
0,2021-11-18 00:11:33,section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,http://ai.berkeley.edu/sections/section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,WORK
1,2021-11-18 09:34:53,section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,http://ai.berkeley.edu/sections/section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,WORK
2,2021-11-11 01:30:34,Computer Science < Northeastern University,http://catalog.northeastern.edu/graduate/computer-information-science/computer-science/,WORK
3,2021-11-18 00:03:55,q2B_review_sol.pdf,http://courses.csail.mit.edu/6.034s/handouts/spring12/q2B_review_sol.pdf,WORK
4,2021-11-12 02:39:16,,http://google.com/,WORK
5,2021-11-19 12:30:06,Homepage - Khoury College of Computer Sciences,http://khoury.northeastern.edu/,WORK
6,2021-11-30 18:20:44,Linkedin_Scraper - Jupyter Notebook,http://localhost:8888/notebooks/Linkedin_Scraper.ipynb,MISC
7,2021-11-30 17:40:48,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
8,2021-11-30 17:36:09,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
9,2021-11-30 17:41:59,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
10,2021-11-30 17:42:29,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
11,2021-11-30 17:36:54,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
12,2021-11-30 17:40:53,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
13,2021-11-30 17:42:32,Home Page - Select or create a notebook,http://localhost:8888/tree,MISC
14,2021-11-30 17:43:26,Home,http://localhost:8888/tree#,MISC
15,2021-11-07 11:39:07,telephoneinclination.com/cbjvhsx71f?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15111743,http://telephoneinclination.com/cbjvhsx71f?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15111743,SHOPPING
16,2021-11-07 11:39:07,telephoneinclination.com/cbjvhsx71f?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15111743,http://telephoneinclination.com/cbjvhsx71f?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15111743,SHOPPING
17,2021-11-07 11:39:07,,http://telephoneinclination.com/cbjvhsx71f?qzl=96&refer=https%3A%2F%2Fwww.vipstand.se%2Flfc-tv-liverpool-fc-tv-live-sports-stream%2F2%2F&kw=%5B%22vipstand%22%2C%22watch%22%2C%22lfc%22%2C%22tv%22%2C%22liverpool%22%2C%22fc%22%2C%22tv%22%2C%22live%22%2C%22sports%22%2C%22stream%22%5D&key=65aa283021630dfd9030555c4c61a78c&scrWidth=1536&scrHeight=864&tz=-5&v=21.9.v.12&ship=&res=12.1055&dev=e&uuid=e6624298-cded-4991-b427-3f40ae25f948%3A3%3A1,SHOPPING
18,2021-11-18 00:05:52,hw3_sol.pdf,http://www.cs.cmu.edu/afs/cs/academic/class/15780-s13/www/hw/hw3_sol.pdf,WORK
19,2021-11-19 12:30:06,Homepage - Khoury College of Computer Sciences,http://www.khoury.northeastern.edu/,WORK
20,2021-11-07 20:12:55,,http://www.msftconnecttest.com/redirect,MISC
21,2021-11-07 20:12:56,Dunkin' Donuts Guest,http://www.msftconnecttest.com/redirect,MISC
22,2021-11-07 18:56:05,Dunkin' Donuts Guest,http://www.msftconnecttest.com/redirect,MISC
23,2021-11-08 10:53:56,VMock Dashboard,http://www.vmock.com/northeastern,WORK
24,2021-11-08 10:53:14,VMock Dashboard,http://www.vmock.com/northeastern,WORK
25,2021-11-14 02:17:05,GeeksforGeeks,https://accounts.google.com/o/oauth2/v2/auth?response_type=code&client_id=388036620207-3uolk1hv6ta7p3r9l6s3bobifh086qe1.apps.googleusercontent.com&scope=openid%20email%20https://www.googleapis.com/auth/userinfo.profile&redirect_uri=https://auth.geeksforgeeks.org/googleLogin.php&state=34ebec0fd9528d962395516a1683e7c6,WORK
26,2021-11-14 02:16:46,GeeksforGeeks,https://accounts.google.com/o/oauth2/v2/auth?response_type=code&client_id=388036620207-3uolk1hv6ta7p3r9l6s3bobifh086qe1.apps.googleusercontent.com&scope=openid%20email%20https://www.googleapis.com/auth/userinfo.profile&redirect_uri=https://auth.geeksforgeeks.org/googleLogin.php&state=cb2990a7b0704fdbf6ce6b70db7d0d65,MISC
27,2021-11-22 16:11:36,Google Pixel: Shop the Newest Google Pixel Phone - Best Buy,https://ad.doubleclick.net/ddm/clk/416853767;218195965;c;u=ds&sv1=67021860407&sv2=3275230990610592&sv3=8791333461946923212&gclid=CjwKCAiAnO2MBhApEiwA8q0HYSWTA_1Od1JMp97kj0MBQtIzsZhOd8owUqKTaBDN2ozWtZ6eIqvOpxoCNaYQAvD_BwE;%3fhttps://t.myvisualiq.net/click_pixel?et=c&ago=212&ao=546&aca=71700000033912419&si=-2&ci=-2&pi=-2&ad=58700007455047860&sv1=43700067021860407&advt=-2&chnl=-2&vndr=1195&sz=6583&u=CjwKCAiAnO2MBhApEiwA8q0HYSWTA_1Od1JMp97kj0MBQtIzsZhOd8owUqKTaBDN2ozWtZ6eIqvOpxoCNaYQAvD_BwE&red=https://www.bestbuy.com/site/google/learn-about-google-pixel/pcmcat1566430029496.c?id=pcmcat1566430029496&ref=212&loc=1&gclid=CjwKCAiAnO2MBhApEiwA8q0HYSWTA_1Od1JMp97kj0MBQtIzsZhOd8owUqKTaBDN2ozWtZ6eIqvOpxoCNaYQAvD_BwE&gclsrc=aw.ds,SHOPPING
