,TIME_VISITED,TITLE,URL
0,2021-11-18 00:11:33,section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,http://ai.berkeley.edu/sections/section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf
1,2021-11-18 09:34:53,section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf,http://ai.berkeley.edu/sections/section_5_solutions_vVBDODDiXcVEWausVbSZ7eZgSpAUXL.pdf
2,2021-11-11 01:30:34,Computer Science < Northeastern University,http://catalog.northeastern.edu/graduate/computer-information-science/computer-science/
3,2021-11-18 00:03:55,q2B_review_sol.pdf,http://courses.csail.mit.edu/6.034s/handouts/spring12/q2B_review_sol.pdf
4,2021-11-12 02:39:16,,http://google.com/
5,2021-11-12 02:51:47,herdthan.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655,http://herdthan.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655
6,2021-11-12 02:51:47,herdthan.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655,http://herdthan.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655
7,2021-11-12 02:51:47,,http://herdthan.com/f9945uxw?sygm=43&refer=https%3A%2F%2Fhblinks.pro%2Farchives%2F38608&kw=%5B%22venom%22%2C%222%22%2C%222021%22%2C%221080p%22%2C%22hdrip%22%2C%22hindi%22%2C%22%E2%80%93%22%2C%22hublinks%22%5D&key=c42745e1c6055637c7a28147e3ed7aa4&scrWidth=1536&scrHeight=864&tz=-5&v=21.9.v.12&ship=&res=12.1055&dev=e&adb=n&uuid=e6624298-cded-4991-b427-3f40ae25f948%3A3%3A1
8,2021-11-12 02:29:51,invariablyedacityedacitypeach.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655,http://invariablyedacityedacitypeach.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655
9,2021-11-12 02:29:51,invariablyedacityedacitypeach.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655,http://invariablyedacityedacitypeach.com/f9945uxw?key=0f22c1fd609f13cb7947c8cabfe1a90d&submetric=15940655
10,2021-11-12 02:29:51,,http://invariablyedacityedacitypeach.com/f9945uxw?qpefqe=76&refer=https%3A%2F%2Fhblinks.pro%2Farchives%2F37860&kw=%5B%22dune%22%2C%222021%22%2C%221080p%22%2C%22webrip%22%2C%22%E2%80%93%22%2C%22hublinks%22%5D&key=c42745e1c6055637c7a28147e3ed7aa4&scrWidth=1536&scrHeight=864&tz=-5&v=21.9.v.12&ship=&res=12.1055&dev=e&adb=n&uuid=e6624298-cded-4991-b427-3f40ae25f948%3A3%3A1
11,2021-11-19 12:30:06,Homepage - Khoury College of Computer Sciences,http://khoury.northeastern.edu/
12,2021-11-30 18:20:44,Linkedin_Scraper - Jupyter Notebook,http://localhost:8888/notebooks/Linkedin_Scraper.ipynb
13,2021-11-30 17:40:48,Home Page - Select or create a notebook,http://localhost:8888/tree
14,2021-11-30 17:36:09,Home Page - Select or create a notebook,http://localhost:8888/tree
15,2021-11-30 17:41:59,Home Page - Select or create a notebook,http://localhost:8888/tree
16,2021-11-30 17:42:29,Home Page - Select or create a notebook,http://localhost:8888/tree
17,2021-11-30 17:36:54,Home Page - Select or create a notebook,http://localhost:8888/tree
18,2021-11-30 17:40:53,Home Page - Select or create a notebook,http://localhost:8888/tree
19,2021-11-30 17:42:32,Home Page - Select or create a notebook,http://localhost:8888/tree
20,2021-11-30 17:43:26,Home,http://localhost:8888/tree#
21,2021-11-30 17:44:11,Home,http://localhost:8888/tree#
22,2021-11-30 18:20:02,Home,http://localhost:8888/tree#
23,2021-11-30 17:41:30,Home Page - Select or create a notebook,http://localhost:8888/tree#notebooks
